attribute,visa_type,eoi_status,value,eois
Regional Study,190SAS Skilled Australian Sponsored,LODGED,N,12392
Regional Study,190SAS Skilled Australian Sponsored,LODGED,-1,5096
Regional Study,190SAS Skilled Australian Sponsored,INVITED,N,1767
Regional Study,190SAS Skilled Australian Sponsored,INVITED,-1,637
Regional Study,190SAS Skilled Australian Sponsored,HOLD,N,4796
Regional Study,190SAS Skilled Australian Sponsored,HOLD,-1,625
Regional Study,491SNR State or Territory Nominated - Regional,CLOSED,N,353027
Regional Study,491SNR State or Territory Nominated - Regional,CLOSED,-1,27514
Regional Study,491SNR State or Territory Nominated - Regional,SUBMITTED,N,431510
Regional Study,491SNR State or Territory Nominated - Regional,SUBMITTED,-1,40537
Regional Study,491SNR State or Territory Nominated - Regional,LODGED,N,8811
Regional Study,491SNR State or Territory Nominated - Regional,LODGED,-1,3315
Regional Study,491SNR State or Territory Nominated - Regional,INVITED,N,785
Regional Study,491SNR State or Territory Nominated - Regional,INVITED,-1,238
Regional Study,491SNR State or Territory Nominated - Regional,HOLD,N,4770
Regional Study,491SNR State or Territory Nominated - Regional,HOLD,-1,609
Regional Study,189PTS Points-Tested Stream,CLOSED,N,172857
Regional Study,189PTS Points-Tested Stream,CLOSED,-1,32159
Regional Study,189PTS Points-Tested Stream,SUBMITTED,N,146715
Regional Study,189PTS Points-Tested Stream,SUBMITTED,-1,31797
Regional Study,189PTS Points-Tested Stream,LODGED,N,7944
Regional Study,189PTS Points-Tested Stream,LODGED,-1,3104
Regional Study,189PTS Points-Tested Stream,INVITED,N,3479
Regional Study,189PTS Points-Tested Stream,INVITED,-1,1121
Regional Study,189PTS Points-Tested Stream,HOLD,N,2451
Regional Study,189PTS Points-Tested Stream,HOLD,-1,3006
Regional Study,491FSR Family Sponsored - Regional,CLOSED,N,6179
Regional Study,491FSR Family Sponsored - Regional,CLOSED,-1,1282
Regional Study,491FSR Family Sponsored - Regional,SUBMITTED,N,6750
Regional Study,491FSR Family Sponsored - Regional,SUBMITTED,-1,2252
Regional Study,491FSR Family Sponsored - Regional,LODGED,N,165
Regional Study,491FSR Family Sponsored - Regional,LODGED,-1,65
Regional Study,491FSR Family Sponsored - Regional,INVITED,N,17
Regional Study,491FSR Family Sponsored - Regional,INVITED,-1,9
Regional Study,491FSR Family Sponsored - Regional,HOLD,N,30
Regional Study,491FSR Family Sponsored - Regional,HOLD,-1,19
Regional Study,188BI Business Innovation,CLOSED,N/A,201
Regional Study,188BI Business Innovation,LODGED,N/A,7
Regional Study,188INV Investor,CLOSED,N/A,271
Regional Study,188EV Entrepreneur,CLOSED,N/A,109
Regional Study,188SIG Significant Investor,CLOSED,N/A,23
Regional Study,132SBH Significant Business History,CLOSED,N/A,1
PartnerSkills Score,190SAS Skilled Australian Sponsored,CLOSED,0,67003
PartnerSkills Score,190SAS Skilled Australian Sponsored,CLOSED,5,102835
PartnerSkills Score,190SAS Skilled Australian Sponsored,CLOSED,10,247392
PartnerSkills Score,190SAS Skilled Australian Sponsored,CLOSED,-,6701
PartnerSkills Score,190SAS Skilled Australian Sponsored,SUBMITTED,0,72528
PartnerSkills Score,190SAS Skilled Australian Sponsored,SUBMITTED,5,91829
PartnerSkills Score,190SAS Skilled Australian Sponsored,SUBMITTED,10,262732
PartnerSkills Score,190SAS Skilled Australian Sponsored,LODGED,0,2087
PartnerSkills Score,190SAS Skilled Australian Sponsored,LODGED,5,3615
PartnerSkills Score,190SAS Skilled Australian Sponsored,LODGED,10,11816
PartnerSkills Score,190SAS Skilled Australian Sponsored,INVITED,0,153
PartnerSkills Score,190SAS Skilled Australian Sponsored,INVITED,5,539
PartnerSkills Score,190SAS Skilled Australian Sponsored,INVITED,10,1714
PartnerSkills Score,190SAS Skilled Australian Sponsored,HOLD,0,658
PartnerSkills Score,190SAS Skilled Australian Sponsored,HOLD,5,1104
PartnerSkills Score,190SAS Skilled Australian Sponsored,HOLD,10,3662
PartnerSkills Score,491SNR State or Territory Nominated - Regional,CLOSED,0,92466
PartnerSkills Score,491SNR State or Territory Nominated - Regional,CLOSED,5,94317
PartnerSkills Score,491SNR State or Territory Nominated - Regional,CLOSED,10,188740
PartnerSkills Score,491SNR State or Territory Nominated - Regional,CLOSED,-,5359
PartnerSkills Score,491SNR State or Territory Nominated - Regional,SUBMITTED,0,114850
PartnerSkills Score,491SNR State or Territory Nominated - Regional,SUBMITTED,5,99671
PartnerSkills Score,491SNR State or Territory Nominated - Regional,SUBMITTED,10,257830
PartnerSkills Score,491SNR State or Territory Nominated - Regional,LODGED,0,2525
PartnerSkills Score,491SNR State or Territory Nominated - Regional,LODGED,5,2705
PartnerSkills Score,491SNR State or Territory Nominated - Regional,LODGED,10,6920
PartnerSkills Score,491SNR State or Territory Nominated - Regional,INVITED,0,95
PartnerSkills Score,491SNR State or Territory Nominated - Regional,INVITED,5,244
PartnerSkills Score,491SNR State or Territory Nominated - Regional,INVITED,10,684
PartnerSkills Score,491SNR State or Territory Nominated - Regional,HOLD,0,926
PartnerSkills Score,491SNR State or Territory Nominated - Regional,HOLD,5,965
PartnerSkills Score,491SNR State or Territory Nominated - Regional,HOLD,10,3489
PartnerSkills Score,189PTS Points-Tested Stream,CLOSED,0,25947
PartnerSkills Score,189PTS Points-Tested Stream,CLOSED,5,45627
PartnerSkills Score,189PTS Points-Tested Stream,CLOSED,10,128863
PartnerSkills Score,189PTS Points-Tested Stream,CLOSED,-,4855
PartnerSkills Score,189PTS Points-Tested Stream,SUBMITTED,0,24340
PartnerSkills Score,189PTS Points-Tested Stream,SUBMITTED,5,38815
PartnerSkills Score,189PTS Points-Tested Stream,SUBMITTED,10,115578
PartnerSkills Score,189PTS Points-Tested Stream,LODGED,0,680
PartnerSkills Score,189PTS Points-Tested Stream,LODGED,5,2046
PartnerSkills Score,189PTS Points-Tested Stream,LODGED,10,8331
PartnerSkills Score,189PTS Points-Tested Stream,INVITED,0,217
PartnerSkills Score,189PTS Points-Tested Stream,INVITED,5,1009
PartnerSkills Score,189PTS Points-Tested Stream,INVITED,10,3381
PartnerSkills Score,189PTS Points-Tested Stream,HOLD,0,642
PartnerSkills Score,189PTS Points-Tested Stream,HOLD,5,575
