occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
253312 Cardiologist,190SAS Skilled Australian Sponsored,,,,31.0,3.0
253312 Cardiologist,491FSR Family Sponsored - Regional,,,,4.0,3.0
253312 Cardiologist,491SNR State or Territory Nominated - Regional,,,,17.0,0.0
253313 Clinical Haematologist,189PTS Points-Tested Stream,,,,5.0,0.0
253313 Clinical Haematologist,190SAS Skilled Australian Sponsored,,,,2.0,0.0
253313 Clinical Haematologist,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
253314 Medical Oncologist,189PTS Points-Tested Stream,,,,7.0,1.0
253314 Medical Oncologist,190SAS Skilled Australian Sponsored,,,,8.0,0.0
253315 Endocrinologist,189PTS Points-Tested Stream,,,,10.0,1.0
253315 Endocrinologist,190SAS Skilled Australian Sponsored,,,,6.0,1.0
253316 Gastroenterologist,189PTS Points-Tested Stream,,,,19.0,6.0
253316 Gastroenterologist,190SAS Skilled Australian Sponsored,,,,16.0,5.0
253316 Gastroenterologist,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
253317 Intensive Care Specialist,189PTS Points-Tested Stream,,,,32.0,14.0
253317 Intensive Care Specialist,190SAS Skilled Australian Sponsored,,,,32.0,12.0
253317 Intensive Care Specialist,491SNR State or Territory Nominated - Regional,,,,6.0,1.0
253318 Neurologist,189PTS Points-Tested Stream,,,,18.0,4.0
253318 Neurologist,190SAS Skilled Australian Sponsored,,,,16.0,3.0
253318 Neurologist,491SNR State or Territory Nominated - Regional,,,,4.0,1.0
253321 Paediatrician,189PTS Points-Tested Stream,,,,59.0,20.0
253321 Paediatrician,190SAS Skilled Australian Sponsored,,,,59.0,14.0
253321 Paediatrician,491SNR State or Territory Nominated - Regional,,,,11.0,3.0
253322 Renal Medicine Specialist,189PTS Points-Tested Stream,,,,10.0,1.0
253322 Renal Medicine Specialist,190SAS Skilled Australian Sponsored,,,,10.0,1.0
253322 Renal Medicine Specialist,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
253324 Thoracic Medicine Specialist,189PTS Points-Tested Stream,,,,11.0,6.0
253324 Thoracic Medicine Specialist,190SAS Skilled Australian Sponsored,,,,5.0,1.0
253399 Specialist Physicians nec,189PTS Points-Tested Stream,,,,37.0,9.0
253399 Specialist Physicians nec,190SAS Skilled Australian Sponsored,,,,29.0,9.0
253399 Specialist Physicians nec,491SNR State or Territory Nominated - Regional,,,,4.0,1.0
253411 Psychiatrist,189PTS Points-Tested Stream,,,,106.0,43.0
253411 Psychiatrist,190SAS Skilled Australian Sponsored,,,,93.0,31.0
253411 Psychiatrist,491SNR State or Territory Nominated - Regional,,,,18.0,2.0
253511 Surgeon (General),189PTS Points-Tested Stream,,,,23.0,7.0
253511 Surgeon (General),190SAS Skilled Australian Sponsored,,,,20.0,6.0
253511 Surgeon (General),491SNR State or Territory Nominated - Regional,,,,2.0,2.0
253512 Cardiothoracic Surgeon,189PTS Points-Tested Stream,,,,8.0,2.0
253512 Cardiothoracic Surgeon,190SAS Skilled Australian Sponsored,,,,13.0,2.0
253512 Cardiothoracic Surgeon,491SNR State or Territory Nominated - Regional,,,,7.0,1.0
253513 Neurosurgeon,189PTS Points-Tested Stream,,,,1.0,0.0
253513 Neurosurgeon,190SAS Skilled Australian Sponsored,,,,1.0,0.0
253514 Orthopaedic Surgeon,189PTS Points-Tested Stream,,,,24.0,6.0
253514 Orthopaedic Surgeon,190SAS Skilled Australian Sponsored,,,,14.0,2.0
253514 Orthopaedic Surgeon,491SNR State or Territory Nominated - Regional,,,,2.0,0.0
253515 Otorhinolaryngologist,189PTS Points-Tested Stream,,,,2.0,0.0
253515 Otorhinolaryngologist,190SAS Skilled Australian Sponsored,,,,1.0,1.0
253516 Paediatric Surgeon,189PTS Points-Tested Stream,,,,1.0,1.0
253516 Paediatric Surgeon,190SAS Skilled Australian Sponsored,,,,1.0,1.0
253517 Plastic and Reconstructive Surgeon,189PTS Points-Tested Stream,,,,6.0,0.0
253517 Plastic and Reconstructive Surgeon,190SAS Skilled Australian Sponsored,,,,5.0,1.0
253517 Plastic and Reconstructive Surgeon,491SNR State or Territory Nominated - Regional,,,,1.0,0.0
253518 Urologist,189PTS Points-Tested Stream,,,,8.0,4.0
253518 Urologist,190SAS Skilled Australian Sponsored,,,,3.0,2.0
253518 Urologist,491SNR State or Territory Nominated - Regional,,,,2.0,1.0
253521 Vascular Surgeon,189PTS Points-Tested Stream,,,,3.0,1.0
253521 Vascular Surgeon,190SAS Skilled Australian Sponsored,,,,1.0,0.0
253911 Dermatologist,189PTS Points-Tested Stream,,,,6.0,3.0
253911 Dermatologist,190SAS Skilled Australian Sponsored,,,,6.0,3.0
253911 Dermatologist,491SNR State or Territory Nominated - Regional,,,,3.0,1.0
253912 Emergency Medicine Specialist,189PTS Points-Tested Stream,80.0,79.7,59.0,249.0,98.0
253912 Emergency Medicine Specialist,190SAS Skilled Australian Sponsored,,,,193.0,60.0
253912 Emergency Medicine Specialist,491SNR State or Territory Nominated - Regional,,,,10.0,2.0
253913 Obstetrician and Gynaecologist,189PTS Points-Tested Stream,,,,59.0,8.0
253913 Obstetrician and Gynaecologist,190SAS Skilled Australian Sponsored,,,,57.0,7.0
253913 Obstetrician and Gynaecologist,491SNR State or Territory Nominated - Regional,,,,25.0,2.0
253914 Ophthalmologist,189PTS Points-Tested Stream,,,,10.0,4.0
253914 Ophthalmologist,190SAS Skilled Australian Sponsored,,,,10.0,1.0
253915 Pathologist,189PTS Points-Tested Stream,,,,8.0,3.0
253915 Pathologist,190SAS Skilled Australian Sponsored,,,,6.0,3.0
253917 Diagnostic and Interventional Radiologist,189PTS Points-Tested Stream,,,,53.0,18.0
253917 Diagnostic and Interventional Radiologist,190SAS Skilled Australian Sponsored,,,,48.0,13.0
253917 Diagnostic and Interventional Radiologist,491SNR State or Territory Nominated - Regional,,,,7.0,0.0
253918 Radiation Oncologist,189PTS Points-Tested Stream,,,,4.0,0.0
253918 Radiation Oncologist,190SAS Skilled Australian Sponsored,,,,4.0,0.0
253918 Radiation Oncologist,491FSR Family Sponsored - Regional,,,,2.0,1.0
253918 Radiation Oncologist,491SNR State or Territory Nominated - Regional,,,,1.0,0.0
253999 Medical Practitioners nec,189PTS Points-Tested Stream,75.0,20.8,509.0,2725.0,1091.0
253999 Medical Practitioners nec,190SAS Skilled Australian Sponsored,80.0,15.5,406.0,2148.0,656.0
253999 Medical Practitioners nec,491FSR Family Sponsored - Regional,,,,4.0,1.0
253999 Medical Practitioners nec,491SNR State or Territory Nominated - Regional,,,,259.0,31.0
254111 Midwife,189PTS Points-Tested Stream,65.0,11.3,71.0,413.0,149.0
254111 Midwife,190SAS Skilled Australian Sponsored,70.0,14.4,90.0,465.0,123.0
254111 Midwife,491FSR Family Sponsored - Regional,,,,7.0,1.0
254111 Midwife,491SNR State or Territory Nominated - Regional,,,,101.0,11.0
254211 Nurse Educator,189PTS Points-Tested Stream,,,,1.0,0.0
254211 Nurse Educator,190SAS Skilled Australian Sponsored,,,,91.0,4.0
254211 Nurse Educator,491SNR State or Territory Nominated - Regional,,,,58.0,2.0
254212 Nurse Researcher,190SAS Skilled Australian Sponsored,,,,2.0,0.0
254311 Nurse Manager,190SAS Skilled Australian Sponsored,,,,45.0,9.0
254311 Nurse Manager,491SNR State or Territory Nominated - Regional,,,,23.0,2.0
254411 Nurse Practitioner,189PTS Points-Tested Stream,,,,58.0,10.0
254411 Nurse Practitioner,190SAS Skilled Australian Sponsored,,,,63.0,7.0
254411 Nurse Practitioner,491FSR Family Sponsored - Regional,,,,2.0,1.0
254411 Nurse Practitioner,491SNR State or Territory Nominated - Regional,,,,42.0,2.0
254412 Registered Nurse (Aged Care),189PTS Points-Tested Stream,75.0,19.7,1362.0,5679.0,1153.0
254412 Registered Nurse (Aged Care),190SAS Skilled Australian Sponsored,80.0,12.3,1526.0,7177.0,852.0
254412 Registered Nurse (Aged Care),491FSR Family Sponsored - Regional,,,,96.0,21.0
254412 Registered Nurse (Aged Care),491SNR State or Territory Nominated - Regional,95.0,25.3,182.0,3357.0,209.0
254413 Registered Nurse (Child and Family Health),189PTS Points-Tested Stream,,,,120.0,21.0
254413 Registered Nurse (Child and Family Health),190SAS Skilled Australian Sponsored,,,,156.0,19.0
254413 Registered Nurse (Child and Family Health),491FSR Family Sponsored - Regional,,,,3.0,0.0
254413 Registered Nurse (Child and Family Health),491SNR State or Territory Nominated - Regional,,,,93.0,4.0
254414 Registered Nurse (Community Health),189PTS Points-Tested Stream,75.0,29.9,67.0,345.0,64.0
254414 Registered Nurse (Community Health),190SAS Skilled Australian Sponsored,80.0,14.8,88.0,553.0,47.0
254414 Registered Nurse (Community Health),491FSR Family Sponsored - Regional,,,,5.0,1.0
254414 Registered Nurse (Community Health),491SNR State or Territory Nominated - Regional,,,,381.0,18.0
254415 Registered Nurse (Critical Care and Emergency),189PTS Points-Tested Stream,75.0,29.3,955.0,4944.0,893.0
254415 Registered Nurse (Critical Care and Emergency),190SAS Skilled Australian Sponsored,80.0,13.6,1607.0,12366.0,779.0
254415 Registered Nurse (Critical Care and Emergency),491FSR Family Sponsored - Regional,,,,125.0,21.0
254415 Registered Nurse (Critical Care and Emergency),491SNR State or Territory Nominated - Regional,95.0,20.4,206.0,11046.0,296.0
254416 Registered Nurse (Developmental Disability),189PTS Points-Tested Stream,,,,64.0,10.0
254416 Registered Nurse (Developmental Disability),190SAS Skilled Australian Sponsored,,,,78.0,13.0
254416 Registered Nurse (Developmental Disability),491FSR Family Sponsored - Regional,,,,2.0,1.0
254416 Registered Nurse (Developmental Disability),491SNR State or Territory Nominated - Regional,,,,26.0,1.0
254417 Registered Nurse (Disability and Rehabilitation),189PTS Points-Tested Stream,75.0,19.0,79.0,324.0,61.0
254417 Registered Nurse (Disability and Rehabilitation),190SAS Skilled Australian Sponsored,80.0,11.7,94.0,485.0,49.0
254417 Registered Nurse (Disability and Rehabilitation),491FSR Family Sponsored - Regional,,,,2.0,0.0
254417 Registered Nurse (Disability and Rehabilitation),491SNR State or Territory Nominated - Regional,,,,293.0,18.0
254418 Registered Nurse (Medical),189PTS Points-Tested Stream,75.0,26.0,908.0,4818.0,802.0
254418 Registered Nurse (Medical),190SAS Skilled Australian Sponsored,80.0,12.8,1406.0,11102.0,686.0
254418 Registered Nurse (Medical),491FSR Family Sponsored - Regional,,,,126.0,24.0
254418 Registered Nurse (Medical),491SNR State or Territory Nominated - Regional,95.0,23.8,147.0,9498.0,298.0
254421 Registered Nurse (Medical Practice),189PTS Points-Tested Stream,75.0,19.7,71.0,392.0,64.0
254421 Registered Nurse (Medical Practice),190SAS Skilled Australian Sponsored,80.0,10.9,92.0,583.0,52.0
254421 Registered Nurse (Medical Practice),491FSR Family Sponsored - Regional,,,,12.0,4.0
254421 Registered Nurse (Medical Practice),491SNR State or Territory Nominated - Regional,,,,297.0,21.0
254422 Registered Nurse (Mental Health),189PTS Points-Tested Stream,75.0,24.3,325.0,1253.0,334.0
254422 Registered Nurse (Mental Health),190SAS Skilled Australian Sponsored,80.0,18.1,348.0,1547.0,248.0
254422 Registered Nurse (Mental Health),491FSR Family Sponsored - Regional,,,,20.0,4.0
254422 Registered Nurse (Mental Health),491SNR State or Territory Nominated - Regional,90.0,14.0,57.0,536.0,44.0
254423 Registered Nurse (Perioperative),189PTS Points-Tested Stream,75.0,35.7,342.0,1579.0,323.0
254423 Registered Nurse (Perioperative),190SAS Skilled Australian Sponsored,80.0,15.4,557.0,3531.0,262.0
254423 Registered Nurse (Perioperative),491FSR Family Sponsored - Regional,,,,48.0,7.0
254423 Registered Nurse (Perioperative),491SNR State or Territory Nominated - Regional,90.0,10.9,193.0,2614.0,95.0
254424 Registered Nurse (Surgical),189PTS Points-Tested Stream,75.0,28.2,433.0,2229.0,421.0
254424 Registered Nurse (Surgical),190SAS Skilled Australian Sponsored,80.0,13.5,713.0,4878.0,351.0
254424 Registered Nurse (Surgical),491FSR Family Sponsored - Regional,,,,70.0,7.0
254424 Registered Nurse (Surgical),491SNR State or Territory Nominated - Regional,95.0,21.5,65.0,3958.0,98.0
254425 Registered Nurse (Paediatrics),189PTS Points-Tested Stream,75.0,32.4,136.0,716.0,203.0
254425 Registered Nurse (Paediatrics),190SAS Skilled Australian Sponsored,80.0,21.0,162.0,1369.0,181.0
254425 Registered Nurse (Paediatrics),491FSR Family Sponsored - Regional,,,,19.0,5.0
254425 Registered Nurse (Paediatrics),491SNR State or Territory Nominated - Regional,,,,1080.0,61.0
254499 Registered Nurses nec,189PTS Points-Tested Stream,75.0,26.4,6504.0,26151.0,5947.0
254499 Registered Nurses nec,190SAS Skilled Australian Sponsored,80.0,16.1,6769.0,30530.0,4046.0
254499 Registered Nurses nec,491FSR Family Sponsored - Regional,80.0,29.5,95.0,394.0,92.0
254499 Registered Nurses nec,491SNR State or Territory Nominated - Regional,90.0,10.8,2067.0,13241.0,1173.0
261111 ICT Business Analyst,189PTS Points-Tested Stream,95.0,21.7,1796.0,27357.0,782.0
261111 ICT Business Analyst,190SAS Skilled Australian Sponsored,100.0,10.3,1973.0,42629.0,1032.0
261111 ICT Business Analyst,491FSR Family Sponsored - Regional,,,,929.0,11.0
261111 ICT Business Analyst,491SNR State or Territory Nominated - Regional,,,,36508.0,463.0
261112 Systems Analyst,189PTS Points-Tested Stream,95.0,12.1,952.0,14304.0,216.0
261112 Systems Analyst,190SAS Skilled Australian Sponsored,,,,20217.0,296.0
261112 Systems Analyst,491FSR Family Sponsored - Regional,,,,535.0,4.0
261112 Systems Analyst,491SNR State or Territory Nominated - Regional,,,,18165.0,166.0
261211 Multimedia Specialist,189PTS Points-Tested Stream,90.0,26.7,270.0,1428.0,143.0
261211 Multimedia Specialist,190SAS Skilled Australian Sponsored,95.0,10.8,259.0,1615.0,64.0
261211 Multimedia Specialist,491FSR Family Sponsored - Regional,,,,62.0,0.0
261211 Multimedia Specialist,491SNR State or Territory Nominated - Regional,,,,1081.0,17.0
261212 Web Developer,189PTS Points-Tested Stream,,,,4.0,0.0
261212 Web Developer,190SAS Skilled Australian Sponsored,,,,2844.0,31.0
261212 Web Developer,491SNR State or Territory Nominated - Regional,,,,3329.0,28.0
261311 Analyst Programmer,189PTS Points-Tested Stream,90.0,12.7,2300.0,13185.0,522.0
261311 Analyst Programmer,190SAS Skilled Australian Sponsored,,,,21072.0,369.0
261311 Analyst Programmer,491FSR Family Sponsored - Regional,,,,396.0,1.0
261311 Analyst Programmer,491SNR State or Territory Nominated - Regional,,,,17470.0,126.0
261312 Developer Programmer,189PTS Points-Tested Stream,95.0,18.8,1359.0,20026.0,465.0
261312 Developer Programmer,190SAS Skilled Australian Sponsored,,,,39284.0,521.0
261312 Developer Programmer,491FSR Family Sponsored - Regional,,,,717.0,4.0
261312 Developer Programmer,491SNR State or Territory Nominated - Regional,,,,37386.0,240.0
261313 Software Engineer,189PTS Points-Tested Stream,95.0,20.3,1797.0,33179.0,750.0
261313 Software Engineer,190SAS Skilled Australian Sponsored,,,,71242.0,999.0
261313 Software Engineer,491FSR Family Sponsored - Regional,,,,1487.0,17.0
261313 Software Engineer,491SNR State or Territory Nominated - Regional,,,,67646.0,385.0
261314 Software Tester,189PTS Points-Tested Stream,,,,10.0,0.0
261314 Software Tester,190SAS Skilled Australian Sponsored,,,,8984.0,59.0
261314 Software Tester,491SNR State or Territory Nominated - Regional,,,,10184.0,32.0
261399 Software and Applications Programmers nec,189PTS Points-Tested Stream,90.0,10.1,1364.0,8543.0,238.0
261399 Software and Applications Programmers nec,190SAS Skilled Australian Sponsored,,,,14528.0,202.0
261399 Software and Applications Programmers nec,491FSR Family Sponsored - Regional,,,,300.0,2.0
261399 Software and Applications Programmers nec,491SNR State or Territory Nominated - Regional,,,,13897.0,82.0
262111 Database Administrator,189PTS Points-Tested Stream,,,,3.0,0.0
262111 Database Administrator,190SAS Skilled Australian Sponsored,,,,2519.0,39.0
262111 Database Administrator,491SNR State or Territory Nominated - Regional,,,,2919.0,26.0
262112 ICT Security Specialist,189PTS Points-Tested Stream,95.0,31.0,654.0,11029.0,349.0
262112 ICT Security Specialist,190SAS Skilled Australian Sponsored,,,,15327.0,368.0
262112 ICT Security Specialist,491FSR Family Sponsored - Regional,,,,455.0,3.0
262112 ICT Security Specialist,491SNR State or Territory Nominated - Regional,115.0,15.1,73.0,13815.0,186.0
262113 Systems Administrator,189PTS Points-Tested Stream,,,,6.0,0.0
262113 Systems Administrator,190SAS Skilled Australian Sponsored,,,,5941.0,71.0
262113 Systems Administrator,491SNR State or Territory Nominated - Regional,115.0,12.5,56.0,6800.0,60.0
263111 Computer Network and Systems Engineer,189PTS Points-Tested Stream,95.0,24.4,857.0,15105.0,339.0
263111 Computer Network and Systems Engineer,190SAS Skilled Australian Sponsored,,,,22897.0,310.0
263111 Computer Network and Systems Engineer,491FSR Family Sponsored - Regional,,,,609.0,0.0
263111 Computer Network and Systems Engineer,491SNR State or Territory Nominated - Regional,110.0,15.0,553.0,22668.0,291.0
263112 Network Administrator,189PTS Points-Tested Stream,,,,4.0,0.0
263112 Network Administrator,190SAS Skilled Australian Sponsored,,,,3857.0,24.0
263112 Network Administrator,491FSR Family Sponsored - Regional,,,,1.0,0.0
263112 Network Administrator,491SNR State or Territory Nominated - Regional,,,,4602.0,25.0
263113 Network Analyst,189PTS Points-Tested Stream,,,,4.0,0.0
263113 Network Analyst,190SAS Skilled Australian Sponsored,,,,1838.0,4.0
263113 Network Analyst,491SNR State or Territory Nominated - Regional,,,,2179.0,3.0
263211 ICT Quality Assurance Engineer,189PTS Points-Tested Stream,,,,2.0,0.0
263211 ICT Quality Assurance Engineer,190SAS Skilled Australian Sponsored,,,,3354.0,12.0
263211 ICT Quality Assurance Engineer,491SNR State or Territory Nominated - Regional,,,,4123.0,8.0
263212 ICT Support Engineer,189PTS Points-Tested Stream,,,,36.0,0.0
263212 ICT Support Engineer,190SAS Skilled Australian Sponsored,,,,13386.0,194.0
263212 ICT Support Engineer,491FSR Family Sponsored - Regional,,,,5.0,0.0
263212 ICT Support Engineer,491SNR State or Territory Nominated - Regional,,,,14396.0,132.0
263213 ICT Systems Test Engineer,189PTS Points-Tested Stream,,,,5.0,0.0
263213 ICT Systems Test Engineer,190SAS Skilled Australian Sponsored,,,,2673.0,18.0
263213 ICT Systems Test Engineer,491SNR State or Territory Nominated - Regional,,,,3153.0,9.0
263299 ICT Support and Test Engineers nec,189PTS Points-Tested Stream,,,,10.0,0.0
263299 ICT Support and Test Engineers nec,190SAS Skilled Australian Sponsored,,,,2794.0,30.0
263299 ICT Support and Test Engineers nec,491FSR Family Sponsored - Regional,,,,1.0,0.0
263299 ICT Support and Test Engineers nec,491SNR State or Territory Nominated - Regional,,,,2869.0,28.0
263311 Telecommunications Engineer,189PTS Points-Tested Stream,90.0,35.2,284.0,4329.0,182.0
263311 Telecommunications Engineer,190SAS Skilled Australian Sponsored,95.0,10.5,370.0,7100.0,115.0
263311 Telecommunications Engineer,491FSR Family Sponsored - Regional,,,,257.0,0.0
263311 Telecommunications Engineer,491SNR State or Territory Nominated - Regional,,,,7167.0,71.0
263312 Telecommunications Network Engineer,189PTS Points-Tested Stream,90.0,30.7,88.0,1209.0,52.0
263312 Telecommunications Network Engineer,190SAS Skilled Australian Sponsored,95.0,15.1,119.0,2786.0,38.0
263312 Telecommunications Network Engineer,491FSR Family Sponsored - Regional,,,,84.0,1.0
263312 Telecommunications Network Engineer,491SNR State or Territory Nominated - Regional,105.0,12.7,63.0,2793.0,20.0
271111 Barrister,189PTS Points-Tested Stream,,,,31.0,5.0
271111 Barrister,190SAS Skilled Australian Sponsored,,,,18.0,1.0
271111 Barrister,491FSR Family Sponsored - Regional,,,,1.0,0.0
271111 Barrister,491SNR State or Territory Nominated - Regional,,,,11.0,0.0
271214 Intellectual Property Lawyer,491SNR State or Territory Nominated - Regional,,,,66.0,0.0
271299 Judicial and Other Legal Professionals nec,189PTS Points-Tested Stream,,,,1.0,0.0
271299 Judicial and Other Legal Professionals nec,190SAS Skilled Australian Sponsored,,,,674.0,12.0
271299 Judicial and Other Legal Professionals nec,491SNR State or Territory Nominated - Regional,,,,826.0,9.0
271311 Solicitor,189PTS Points-Tested Stream,80.0,25.5,683.0,3412.0,892.0
271311 Solicitor,190SAS Skilled Australian Sponsored,85.0,14.4,647.0,3229.0,433.0
271311 Solicitor,491FSR Family Sponsored - Regional,,,,64.0,7.0
271311 Solicitor,491SNR State or Territory Nominated - Regional,95.0,18.5,200.0,1162.0,132.0
272111 Careers Counsellor,190SAS Skilled Australian Sponsored,,,,17.0,0.0
272111 Careers Counsellor,491SNR State or Territory Nominated - Regional,,,,15.0,0.0
272112 Drug and Alcohol Counsellor,190SAS Skilled Australian Sponsored,,,,139.0,8.0
272112 Drug and Alcohol Counsellor,491SNR State or Territory Nominated - Regional,,,,128.0,7.0
272113 Family and Marriage Counsellor,190SAS Skilled Australian Sponsored,,,,68.0,5.0
272113 Family and Marriage Counsellor,491SNR State or Territory Nominated - Regional,,,,56.0,3.0
272114 Rehabilitation Counsellor,190SAS Skilled Australian Sponsored,,,,227.0,14.0
272114 Rehabilitation Counsellor,491SNR State or Territory Nominated - Regional,,,,205.0,15.0
272115 Student Counsellor,190SAS Skilled Australian Sponsored,70.0,13.0,77.0,457.0,38.0
272115 Student Counsellor,491SNR State or Territory Nominated - Regional,80.0,14.5,83.0,488.0,46.0
272199 Counsellors nec,190SAS Skilled Australian Sponsored,75.0,13.5,89.0,508.0,87.0
272199 Counsellors nec,491SNR State or Territory Nominated - Regional,85.0,17.0,53.0,328.0,34.0
272311 Clinical Psychologist,189PTS Points-Tested Stream,,,,71.0,25.0
272311 Clinical Psychologist,190SAS Skilled Australian Sponsored,,,,70.0,15.0
272311 Clinical Psychologist,491SNR State or Territory Nominated - Regional,,,,15.0,4.0
272312 Educational Psychologist,189PTS Points-Tested Stream,,,,13.0,2.0
272312 Educational Psychologist,190SAS Skilled Australian Sponsored,,,,14.0,2.0
272312 Educational Psychologist,491SNR State or Territory Nominated - Regional,,,,7.0,0.0
272313 Organisational Psychologist,189PTS Points-Tested Stream,,,,8.0,1.0
272313 Organisational Psychologist,190SAS Skilled Australian Sponsored,,,,6.0,0.0
272313 Organisational Psychologist,491SNR State or Territory Nominated - Regional,,,,3.0,0.0
272314 Psychotherapist,190SAS Skilled Australian Sponsored,80.0,14.6,164.0,897.0,75.0
272314 Psychotherapist,491SNR State or Territory Nominated - Regional,,,,880.0,59.0
272399 Psychologists nec,189PTS Points-Tested Stream,75.0,24.9,177.0,835.0,273.0
272399 Psychologists nec,190SAS Skilled Australian Sponsored,75.0,10.9,183.0,980.0,186.0
272399 Psychologists nec,491FSR Family Sponsored - Regional,,,,1.0,0.0
272399 Psychologists nec,491SNR State or Territory Nominated - Regional,85.0,10.1,79.0,426.0,49.0
272412 Interpreter,190SAS Skilled Australian Sponsored,,,,459.0,14.0
272412 Interpreter,491SNR State or Territory Nominated - Regional,,,,217.0,7.0
272413 Translator,491SNR State or Territory Nominated - Regional,,,,216.0,16.0
272499 Social Professionals nec,190SAS Skilled Australian Sponsored,,,,239.0,11.0
272499 Social Professionals nec,491SNR State or Territory Nominated - Regional,,,,207.0,7.0
272511 Social Worker,189PTS Points-Tested Stream,75.0,25.2,1234.0,5082.0,1489.0
272511 Social Worker,190SAS Skilled Australian Sponsored,80.0,17.8,1234.0,5599.0,916.0
272511 Social Worker,491FSR Family Sponsored - Regional,,,,123.0,17.0
272511 Social Worker,491SNR State or Territory Nominated - Regional,90.0,15.3,536.0,3101.0,351.0
272611 Community Arts Worker,491SNR State or Territory Nominated - Regional,,,,24.0,1.0
272612 Recreation Officer,190SAS Skilled Australian Sponsored,,,,564.0,6.0
272612 Recreation Officer,491SNR State or Territory Nominated - Regional,,,,936.0,13.0
272613 Welfare Worker,190SAS Skilled Australian Sponsored,90.0,10.4,125.0,3038.0,181.0
272613 Welfare Worker,491SNR State or Territory Nominated - Regional,65.0,12.2,98.0,2623.0,137.0
311111 Agricultural Technician,491SNR State or Territory Nominated - Regional,80.0,10.0,231.0,1048.0,99.0
311211 Anaesthetic Technician,190SAS Skilled Australian Sponsored,,,,747.0,10.0
311211 Anaesthetic Technician,491SNR State or Territory Nominated - Regional,,,,916.0,3.0
311212 Cardiac Technician,190SAS Skilled Australian Sponsored,,,,258.0,7.0
311212 Cardiac Technician,491SNR State or Territory Nominated - Regional,,,,277.0,6.0
311213 Medical Laboratory Technician,189PTS Points-Tested Stream,,,,9.0,0.0
311213 Medical Laboratory Technician,190SAS Skilled Australian Sponsored,,,,5863.0,112.0
311213 Medical Laboratory Technician,491SNR State or Territory Nominated - Regional,,,,5461.0,77.0
311214 Operating Theatre Technician,491SNR State or Territory Nominated - Regional,,,,755.0,3.0
311215 Pharmacy Technician,189PTS Points-Tested Stream,,,,2.0,0.0
311215 Pharmacy Technician,190SAS Skilled Australian Sponsored,,,,5945.0,108.0
311215 Pharmacy Technician,491SNR State or Territory Nominated - Regional,,,,9395.0,158.0
311216 Pathology Collector,491SNR State or Territory Nominated - Regional,,,,92.0,14.0
311299 Medical Technicians nec,190SAS Skilled Australian Sponsored,,,,787.0,16.0
311299 Medical Technicians nec,491SNR State or Territory Nominated - Regional,,,,971.0,12.0
311312 Meat Inspector,190SAS Skilled Australian Sponsored,,,,189.0,6.0
311312 Meat Inspector,491SNR State or Territory Nominated - Regional,,,,204.0,5.0
311399 Primary Products Inspectors nec,190SAS Skilled Australian Sponsored,,,,272.0,16.0
311399 Primary Products Inspectors nec,491SNR State or Territory Nominated - Regional,,,,433.0,16.0
311411 Chemistry Technician,190SAS Skilled Australian Sponsored,,,,1326.0,32.0
311411 Chemistry Technician,491SNR State or Territory Nominated - Regional,,,,1756.0,29.0
311412 Earth Science Technician,190SAS Skilled Australian Sponsored,,,,162.0,10.0
311412 Earth Science Technician,491SNR State or Territory Nominated - Regional,,,,233.0,12.0
311413 Life Science Technician,190SAS Skilled Australian Sponsored,65.0,12.8,78.0,745.0,43.0
311413 Life Science Technician,491SNR State or Territory Nominated - Regional,,,,784.0,30.0
311499 Science Technicians nec,190SAS Skilled Australian Sponsored,,,,401.0,14.0
311499 Science Technicians nec,491SNR State or Territory Nominated - Regional,,,,416.0,7.0
312111 Architectural Draftsperson,189PTS Points-Tested Stream,,,,15.0,0.0
312111 Architectural Draftsperson,190SAS Skilled Australian Sponsored,85.0,10.9,900.0,8583.0,467.0
312111 Architectural Draftsperson,491SNR State or Territory Nominated - Regional,,,,8751.0,199.0
312113 Building Inspector,189PTS Points-Tested Stream,,,,1.0,0.0
312113 Building Inspector,190SAS Skilled Australian Sponsored,,,,493.0,21.0
312113 Building Inspector,491SNR State or Territory Nominated - Regional,,,,666.0,14.0
312114 Construction Estimator,189PTS Points-Tested Stream,,,,4.0,0.0
312114 Construction Estimator,190SAS Skilled Australian Sponsored,,,,4.0,0.0
312114 Construction Estimator,491SNR State or Territory Nominated - Regional,,,,2883.0,70.0
312116 Surveying or Spatial Science Technician,190SAS Skilled Australian Sponsored,,,,1.0,0.0
312116 Surveying or Spatial Science Technician,491SNR State or Territory Nominated - Regional,,,,316.0,13.0
"312199 Architectural, Building and Surveying Technicians nec",189PTS Points-Tested Stream,,,,1.0,0.0
"312199 Architectural, Building and Surveying Technicians nec",190SAS Skilled Australian Sponsored,85.0,11.1,54.0,540.0,36.0
"312199 Architectural, Building and Surveying Technicians nec",491SNR State or Territory Nominated - Regional,,,,509.0,22.0
312211 Civil Engineering Draftsperson,189PTS Points-Tested Stream,75.0,27.1,2872.0,14977.0,1830.0
312211 Civil Engineering Draftsperson,190SAS Skilled Australian Sponsored,85.0,10.3,3104.0,27887.0,1246.0
