occupation,visa_type,分数线,该线获邀率%,该线样本n,EOI总数,曾获邀
222213 Stockbroking Dealer,190SAS Skilled Australian Sponsored,,,,60.0,1.0
222213 Stockbroking Dealer,491SNR State or Territory Nominated - Regional,,,,67.0,1.0
222299 Financial Dealers nec,190SAS Skilled Australian Sponsored,,,,225.0,5.0
222299 Financial Dealers nec,491SNR State or Territory Nominated - Regional,,,,203.0,2.0
222311 Financial Investment Adviser,189PTS Points-Tested Stream,,,,1.0,0.0
222311 Financial Investment Adviser,190SAS Skilled Australian Sponsored,,,,4735.0,87.0
222311 Financial Investment Adviser,491SNR State or Territory Nominated - Regional,,,,5498.0,48.0
222312 Financial Investment Manager,190SAS Skilled Australian Sponsored,,,,584.0,17.0
222312 Financial Investment Manager,491SNR State or Territory Nominated - Regional,,,,396.0,1.0
223111 Human Resource Adviser,491SNR State or Territory Nominated - Regional,,,,9870.0,45.0
223112 Recruitment Consultant,189PTS Points-Tested Stream,,,,1.0,0.0
223112 Recruitment Consultant,190SAS Skilled Australian Sponsored,,,,4870.0,64.0
223112 Recruitment Consultant,491SNR State or Territory Nominated - Regional,,,,5575.0,61.0
223113 Workplace Relations Adviser,491SNR State or Territory Nominated - Regional,,,,31.0,0.0
223211 ICT Trainer,190SAS Skilled Australian Sponsored,,,,531.0,15.0
223211 ICT Trainer,491SNR State or Territory Nominated - Regional,,,,650.0,10.0
224111 Actuary,189PTS Points-Tested Stream,85.0,26.9,216.0,1085.0,228.0
224111 Actuary,190SAS Skilled Australian Sponsored,95.0,26.0,192.0,1388.0,105.0
224111 Actuary,491FSR Family Sponsored - Regional,,,,31.0,2.0
224111 Actuary,491SNR State or Territory Nominated - Regional,,,,534.0,31.0
224112 Mathematician,190SAS Skilled Australian Sponsored,,,,337.0,5.0
224112 Mathematician,491SNR State or Territory Nominated - Regional,,,,216.0,4.0
224113 Statistician,189PTS Points-Tested Stream,85.0,19.4,484.0,2423.0,449.0
224113 Statistician,190SAS Skilled Australian Sponsored,95.0,18.2,417.0,3384.0,199.0
224113 Statistician,491FSR Family Sponsored - Regional,,,,41.0,1.0
224113 Statistician,491SNR State or Territory Nominated - Regional,105.0,16.2,74.0,1833.0,50.0
224212 Gallery or Museum Curator,190SAS Skilled Australian Sponsored,,,,10.0,1.0
224212 Gallery or Museum Curator,491SNR State or Territory Nominated - Regional,,,,26.0,1.0
224213 Health Information Manager,190SAS Skilled Australian Sponsored,,,,593.0,11.0
224213 Health Information Manager,491SNR State or Territory Nominated - Regional,,,,607.0,6.0
224214 Records Manager,190SAS Skilled Australian Sponsored,,,,86.0,5.0
224214 Records Manager,491SNR State or Territory Nominated - Regional,,,,126.0,2.0
224311 Economist,189PTS Points-Tested Stream,80.0,28.5,158.0,868.0,192.0
224311 Economist,190SAS Skilled Australian Sponsored,85.0,12.5,216.0,1324.0,104.0
224311 Economist,491FSR Family Sponsored - Regional,,,,38.0,1.0
224311 Economist,491SNR State or Territory Nominated - Regional,95.0,15.5,116.0,1015.0,48.0
224412 Policy Analyst,491SNR State or Territory Nominated - Regional,,,,458.0,20.0
224511 Land Economist,189PTS Points-Tested Stream,,,,130.0,30.0
224511 Land Economist,190SAS Skilled Australian Sponsored,,,,174.0,10.0
224511 Land Economist,491FSR Family Sponsored - Regional,,,,2.0,0.0
224511 Land Economist,491SNR State or Territory Nominated - Regional,,,,72.0,2.0
224512 Valuer,189PTS Points-Tested Stream,80.0,29.0,62.0,347.0,59.0
224512 Valuer,190SAS Skilled Australian Sponsored,85.0,10.5,76.0,453.0,33.0
224512 Valuer,491FSR Family Sponsored - Regional,,,,18.0,0.0
224512 Valuer,491SNR State or Territory Nominated - Regional,,,,349.0,10.0
224611 Librarian,190SAS Skilled Australian Sponsored,,,,246.0,4.0
224611 Librarian,491SNR State or Territory Nominated - Regional,,,,358.0,1.0
224711 Management Consultant,189PTS Points-Tested Stream,80.0,25.3,451.0,2365.0,580.0
224711 Management Consultant,190SAS Skilled Australian Sponsored,90.0,12.4,740.0,4321.0,271.0
224711 Management Consultant,491FSR Family Sponsored - Regional,,,,105.0,5.0
224711 Management Consultant,491SNR State or Territory Nominated - Regional,105.0,19.8,167.0,3015.0,109.0
224712 Organisation and Methods Analyst,189PTS Points-Tested Stream,,,,2.0,0.0
224712 Organisation and Methods Analyst,190SAS Skilled Australian Sponsored,,,,4295.0,66.0
224712 Organisation and Methods Analyst,491SNR State or Territory Nominated - Regional,,,,5188.0,37.0
224912 Liaison Officer,491SNR State or Territory Nominated - Regional,,,,271.0,5.0
224914 Patents Examiner,190SAS Skilled Australian Sponsored,,,,101.0,1.0
224914 Patents Examiner,491SNR State or Territory Nominated - Regional,,,,118.0,0.0
224999 Information and Organisation Professionals nec,189PTS Points-Tested Stream,,,,4.0,0.0
224999 Information and Organisation Professionals nec,190SAS Skilled Australian Sponsored,,,,11230.0,192.0
224999 Information and Organisation Professionals nec,491SNR State or Territory Nominated - Regional,,,,12500.0,108.0
225111 Advertising Specialist,190SAS Skilled Australian Sponsored,,,,1919.0,30.0
225111 Advertising Specialist,491SNR State or Territory Nominated - Regional,,,,1687.0,12.0
225112 Market Research Analyst,491SNR State or Territory Nominated - Regional,,,,797.0,1.0
225113 Marketing Specialist,189PTS Points-Tested Stream,,,,3.0,0.0
225113 Marketing Specialist,190SAS Skilled Australian Sponsored,,,,20880.0,310.0
225113 Marketing Specialist,491SNR State or Territory Nominated - Regional,,,,21795.0,146.0
225211 ICT Account Manager,190SAS Skilled Australian Sponsored,,,,739.0,8.0
225211 ICT Account Manager,491SNR State or Territory Nominated - Regional,,,,720.0,3.0
225212 ICT Business Development Manager,190SAS Skilled Australian Sponsored,,,,867.0,10.0
225212 ICT Business Development Manager,491SNR State or Territory Nominated - Regional,,,,977.0,6.0
225213 ICT Sales Representative,190SAS Skilled Australian Sponsored,,,,761.0,16.0
225213 ICT Sales Representative,491SNR State or Territory Nominated - Regional,,,,805.0,11.0
225311 Public Relations Professional,190SAS Skilled Australian Sponsored,,,,1897.0,26.0
225311 Public Relations Professional,491SNR State or Territory Nominated - Regional,,,,1917.0,21.0
225499 Technical Sales Representatives nec,189PTS Points-Tested Stream,,,,1.0,0.0
225499 Technical Sales Representatives nec,190SAS Skilled Australian Sponsored,,,,556.0,14.0
225499 Technical Sales Representatives nec,491SNR State or Territory Nominated - Regional,,,,564.0,9.0
231111 Aeroplane Pilot,491SNR State or Territory Nominated - Regional,,,,71.0,1.0
231113 Flying Instructor,491SNR State or Territory Nominated - Regional,,,,24.0,1.0
231114 Helicopter Pilot,491SNR State or Territory Nominated - Regional,,,,5.0,0.0
231213 Ship's Master,491SNR State or Territory Nominated - Regional,,,,239.0,11.0
232111 Architect,189PTS Points-Tested Stream,75.0,35.7,939.0,4584.0,1235.0
232111 Architect,190SAS Skilled Australian Sponsored,80.0,17.1,1271.0,6325.0,804.0
232111 Architect,491FSR Family Sponsored - Regional,,,,79.0,3.0
232111 Architect,491SNR State or Territory Nominated - Regional,90.0,11.5,514.0,2878.0,194.0
232112 Landscape Architect,189PTS Points-Tested Stream,75.0,34.4,186.0,857.0,199.0
232112 Landscape Architect,190SAS Skilled Australian Sponsored,80.0,12.0,291.0,1430.0,110.0
232112 Landscape Architect,491FSR Family Sponsored - Regional,,,,9.0,0.0
232112 Landscape Architect,491SNR State or Territory Nominated - Regional,90.0,11.4,123.0,757.0,33.0
232212 Surveyor,189PTS Points-Tested Stream,80.0,25.5,55.0,739.0,59.0
232212 Surveyor,190SAS Skilled Australian Sponsored,85.0,13.3,128.0,1623.0,84.0
232212 Surveyor,491FSR Family Sponsored - Regional,,,,25.0,0.0
232212 Surveyor,491SNR State or Territory Nominated - Regional,,,,1829.0,34.0
232213 Cartographer,189PTS Points-Tested Stream,,,,27.0,3.0
232213 Cartographer,190SAS Skilled Australian Sponsored,,,,77.0,2.0
232213 Cartographer,491SNR State or Territory Nominated - Regional,,,,97.0,2.0
232214 Other Spatial Scientist,189PTS Points-Tested Stream,80.0,20.2,84.0,591.0,124.0
